status_conta,duracao_meses,historico_credito,proposito,valor_credito,poupanca,tempo_emprego,taxa_parcela,status_sexo,outros_devedores,residencia_desde,propriedades,idade,outros_planos_parcelas,moradia,creditos_existentes,emprego,dependentes,telefone,trabalhador_estrangeiro,target
0,0.029411764705882346,4,4,0.0505667436997909,4,4,4,2,0,4,0,0.8571428571428572,2,1,2,2,1,1,0,0
1,0.6470588235294117,2,4,0.3136898866512601,0,2,2,1,0,2,0,0.0535714285714286,2,1,1,2,1,0,0,1
3,0.1176470588235294,4,7,0.10157367668097282,0,3,2,2,0,3,0,0.5357142857142858,2,1,1,1,2,0,0,0
0,0.5588235294117647,2,3,0.4199405744470122,0,3,2,2,2,4,1,0.46428571428571425,2,2,1,2,2,0,0,0
0,0.2941176470588235,3,0,0.25420931000330144,0,2,3,2,0,4,3,0.6071428571428572,2,2,2,2,2,0,0,1
3,0.47058823529411764,2,7,0.4844833278309673,4,2,2,2,0,4,3,0.28571428571428575,2,2,1,1,2,1,0,0
3,0.2941176470588235,2,3,0.14223616154946628,2,4,3,2,0,4,1,0.6071428571428572,2,1,1,2,1,0,0,0
1,0.47058823529411764,2,1,0.3685484758446132,0,2,2,2,0,2,2,0.28571428571428575,2,0,1,3,1,1,0,0
3,0.1176470588235294,2,4,0.15456146142841423,3,3,2,0,0,4,0,0.75,2,1,1,1,1,0,0,0
1,0.38235294117647056,4,0,0.27423792230659183,0,0,4,3,0,2,2,0.16071428571428575,2,1,2,3,1,0,0,1
1,0.1176470588235294,2,0,0.05749972488169913,0,1,3,1,0,1,2,0.10714285714285715,2,0,1,2,1,0,0,1
0,0.6470588235294117,2,9,0.22328601298558381,0,1,3,1,0,4,1,0.0892857142857143,2,0,1,2,1,0,0,1
1,0.1176470588235294,2,4,0.07246616044899307,0,2,1,1,0,1,2,0.0535714285714286,2,1,1,2,1,1,0,0
0,0.2941176470588235,4,0,0.052217453505007144,0,4,4,2,0,4,2,0.7321428571428572,2,1,2,1,1,0,0,1
0,0.16176470588235292,2,0,0.06344228018047761,0,2,2,1,0,4,2,0.16071428571428575,2,0,1,2,1,0,0,0
0,0.2941176470588235,2,4,0.056784417299438755,1,2,4,1,0,2,2,0.23214285714285715,2,1,1,1,1,0,0,1
3,0.2941176470588235,4,4,0.11962143721800374,4,4,4,2,0,4,1,0.6071428571428572,2,1,2,2,1,0,0,0
0,0.38235294117647056,0,9,0.43039506988004844,4,1,2,2,0,3,2,0.10714285714285715,0,1,3,2,1,0,0,0
1,0.2941176470588235,2,1,0.6783867062837019,0,4,4,1,0,2,3,0.44642857142857145,2,2,1,3,1,1,0,1
3,0.2941176470588235,2,4,0.17497523935292178,2,4,3,2,0,2,2,0.21428571428571425,2,1,1,2,2,1,0,0
3,0.07352941176470588,4,0,0.10366457576758006,0,2,4,2,0,4,2,0.5178571428571428,2,1,3,2,1,1,0,0
0,0.029411764705882346,2,4,0.13189171343677783,2,2,2,2,0,3,0,0.44642857142857145,2,0,1,2,2,0,0,0
0,0.08823529411764706,4,0,0.10955210740618465,0,1,1,2,0,3,0,0.5178571428571428,2,0,2,1,2,0,1,0
1,0.1176470588235294,4,1,0.08550676791020138,1,1,3,2,0,4,1,0.44642857142857145,2,1,1,2,1,0,0,0
3,0.08823529411764706,4,3,0.10008803785627819,4,2,2,3,0,1,2,0.125,2,1,2,2,1,0,1,0
0,0.029411764705882346,2,3,0.06184659403543523,0,2,1,2,0,2,0,0.30357142857142855,0,1,1,1,1,1,0,0
3,0.029411764705882346,0,4,0.00968416419060196,0,4,4,3,0,4,2,0.35714285714285715,2,1,1,1,1,0,0,0
2,0.1176470588235294,1,4,0.008748761967646089,3,2,3,1,0,3,0,0.41071428571428575,2,0,2,2,1,0,0,0
1,0.044117647058823525,2,4,0.11912622427643886,0,2,3,2,2,2,0,0.26785714285714285,2,1,1,2,1,0,0,0
0,0.8235294117647058,3,9,0.36238582590513924,0,4,3,2,0,4,3,0.7857142857142858,2,1,2,2,1,1,0,1
