status_conta,duracao_meses,historico_credito,proposito,valor_credito,poupanca,tempo_emprego,taxa_parcela,status_sexo,outros_devedores,residencia_desde,propriedades,idade,outros_planos_parcelas,moradia,creditos_existentes,emprego,dependentes,telefone,trabalhador_estrangeiro,target
A11,0.029411764705882346,A34,A43,0.0505667436997909,A65,A75,4,A93,A101,4,A121,0.8571428571428572,A143,A152,2,A173,1,A192,A201,0
A12,0.6470588235294117,A32,A43,0.3136898866512601,A61,A73,2,A92,A101,2,A121,0.0535714285714286,A143,A152,1,A173,1,A191,A201,1
A14,0.1176470588235294,A34,A46,0.10157367668097282,A61,A74,2,A93,A101,3,A121,0.5357142857142858,A143,A152,1,A172,2,A191,A201,0
A11,0.5588235294117647,A32,A42,0.4199405744470122,A61,A74,2,A93,A103,4,A122,0.46428571428571425,A143,A153,1,A173,2,A191,A201,0
A11,0.2941176470588235,A33,A40,0.25420931000330144,A61,A73,3,A93,A101,4,A124,0.6071428571428572,A143,A153,2,A173,2,A191,A201,1
A14,0.47058823529411764,A32,A46,0.4844833278309673,A65,A73,2,A93,A101,4,A124,0.28571428571428575,A143,A153,1,A172,2,A192,A201,0
A14,0.2941176470588235,A32,A42,0.14223616154946628,A63,A75,3,A93,A101,4,A122,0.6071428571428572,A143,A152,1,A173,1,A191,A201,0
A12,0.47058823529411764,A32,A41,0.3685484758446132,A61,A73,2,A93,A101,2,A123,0.28571428571428575,A143,A151,1,A174,1,A192,A201,0
A14,0.1176470588235294,A32,A43,0.15456146142841423,A64,A74,2,A91,A101,4,A121,0.75,A143,A152,1,A172,1,A191,A201,0
A12,0.38235294117647056,A34,A40,0.27423792230659183,A61,A71,4,A94,A101,2,A123,0.16071428571428575,A143,A152,2,A174,1,A191,A201,1
A12,0.1176470588235294,A32,A40,0.05749972488169913,A61,A72,3,A92,A101,1,A123,0.10714285714285715,A143,A151,1,A173,1,A191,A201,1
A11,0.6470588235294117,A32,A49,0.22328601298558381,A61,A72,3,A92,A101,4,A122,0.0892857142857143,A143,A151,1,A173,1,A191,A201,1
A12,0.1176470588235294,A32,A43,0.07246616044899307,A61,A73,1,A92,A101,1,A123,0.0535714285714286,A143,A152,1,A173,1,A192,A201,0
A11,0.2941176470588235,A34,A40,0.052217453505007144,A61,A75,4,A93,A101,4,A123,0.7321428571428572,A143,A152,2,A172,1,A191,A201,1
A11,0.16176470588235292,A32,A40,0.06344228018047761,A61,A73,2,A92,A101,4,A123,0.16071428571428575,A143,A151,1,A173,1,A191,A201,0
A11,0.2941176470588235,A32,A43,0.056784417299438755,A62,A73,4,A92,A101,2,A123,0.23214285714285715,A143,A152,1,A172,1,A191,A201,1
A14,0.2941176470588235,A34,A43,0.11962143721800374,A65,A75,4,A93,A101,4,A122,0.6071428571428572,A143,A152,2,A173,1,A191,A201,0
A11,0.38235294117647056,A30,A49,0.43039506988004844,A65,A72,2,A93,A101,3,A123,0.10714285714285715,A141,A152,3,A173,1,A191,A201,0
A12,0.2941176470588235,A32,A41,0.6783867062837019,A61,A75,4,A92,A101,2,A124,0.44642857142857145,A143,A153,1,A174,1,A192,A201,1
A14,0.2941176470588235,A32,A43,0.17497523935292178,A63,A75,3,A93,A101,2,A123,0.21428571428571425,A143,A152,1,A173,2,A192,A201,0
A14,0.07352941176470588,A34,A40,0.10366457576758006,A61,A73,4,A93,A101,4,A123,0.5178571428571428,A143,A152,3,A173,1,A192,A201,0
A11,0.029411764705882346,A32,A43,0.13189171343677783,A63,A73,2,A93,A101,3,A121,0.44642857142857145,A143,A151,1,A173,2,A191,A201,0
A11,0.08823529411764706,A34,A40,0.10955210740618465,A61,A72,1,A93,A101,3,A121,0.5178571428571428,A143,A151,2,A172,2,A191,A202,0
A12,0.1176470588235294,A34,A41,0.08550676791020138,A62,A72,3,A93,A101,4,A122,0.44642857142857145,A143,A152,1,A173,1,A191,A201,0
A14,0.08823529411764706,A34,A42,0.10008803785627819,A65,A73,2,A94,A101,1,A123,0.125,A143,A152,2,A173,1,A191,A202,0
A11,0.029411764705882346,A32,A42,0.06184659403543523,A61,A73,1,A93,A101,2,A121,0.30357142857142855,A141,A152,1,A172,1,A192,A201,0
A14,0.029411764705882346,A30,A43,0.00968416419060196,A61,A75,4,A94,A101,4,A123,0.35714285714285715,A143,A152,1,A172,1,A191,A201,0
A13,0.1176470588235294,A31,A43,0.008748761967646089,A64,A73,3,A92,A101,3,A121,0.41071428571428575,A143,A151,2,A173,1,A191,A201,0
A12,0.044117647058823525,A32,A43,0.11912622427643886,A61,A73,3,A93,A103,2,A121,0.26785714285714285,A143,A152,1,A173,1,A191,A201,0
A11,0.8235294117647058,A33,A49,0.36238582590513924,A61,A75,3,A93,A101,4,A124,0.7857142857142858,A143,A152,2,A173,1,A192,A201,1
A12,0.20588235294117646,A32,A49,0.09150434686915374,A64,A72,3,A94,A101,3,A121,0.30357142857142855,A141,A152,1,A173,1,A192,A201,0
A11,0.2941176470588235,A32,A42,0.20743919885550788,A61,A73,2,A93,A101,2,A123,0.14285714285714285,A142,A152,1,A173,1,A191,A201,0
A12,0.20588235294117646,A32,A40,0.3090128755364807,A62,A73,2,A93,A101,2,A123,0.19642857142857145,A143,A152,2,A173,1,A192,A201,0
A14,0.1176470588235294,A34,A49,0.055793991416309016,A65,A75,4,A93,A101,4,A124,0.6785714285714286,A143,A151,1,A172,1,A191,A201,0
A13,0.1176470588235294,A32,A42,0.06734896005282272,A61,A72,4,A92,A101,1,A122,0.25000000000000006,A141,A152,1,A174,1,A192,A201,0
A12,0.6029411764705882,A34,A43,0.24738637614174097,A61,A72,4,A93,A101,2,A122,0.10714285714285715,A143,A152,2,A172,1,A191,A201,1
A14,0.6470588235294117,A34,A46,0.32243864861890614,A61,A73,1,A93,A101,3,A124,0.21428571428571425,A141,A153,1,A173,1,A192,A201,0
A13,0.20588235294117646,A32,A43,0.10179377132166832,A61,A73,4,A93,A102,2,A121,0.32142857142857145,A142,A152,1,A173,1,A191,A201,1
A13,0.08823529411764706,A32,A44,0.0536480686695279,A61,A73,2,A93,A101,2,A123,0.32142857142857145,A143,A152,1,A173,1,A192,A201,0
A12,0.07352941176470588,A32,A43,0.011444921316165951,A61,A73,4,A93,A101,3,A121,0.0892857142857143,A143,A152,1,A173,1,A191,A201,0
A14,0.38235294117647056,A32,A43,0.11461428414218112,A63,A75,4,A93,A101,2,A123,0.19642857142857145,A141,A152,1,A174,1,A191,A201,0
A12,0.1176470588235294,A32,A43,0.04996148343787829,A63,A73,3,A91,A101,1,A123,0.125,A143,A152,1,A173,1,A192,A201,0
